ཀུམ ཀུམ
ཀེར ཀེར
ཀྲུགས ཀྲུགས
ཀླན ཀླན
ཀླལ ཀླལ
ཀླས ཀླས
ཀླུབ ཀླུབ
ཀླུབས ཀླུབ
ཀློག ཀློག
ཀློགས ཀློག
ཀློད ཀློད
དཀག དཀག
དཀུ དཀུ
དཀུས དཀུ
དཀྱུ དཀྱུས
དཀྱུ དཀྱུ
དཀྱུས དཀྱུས
དཀྱུས དཀྱུ
དཀྱོག དཀྱོག
དཀྱོག དཀྱོགས
དཀྱོགས དཀྱོག
དཀྱོགས དཀྱོགས
དཀྲབ འཁྲབ
དཀྲི དཀྲིས
དཀྲི དཀྲི
དཀྲིག དཀྲིག
དཀྲིག དཀྲིགས
དཀྲིགས དཀྲིགས
དཀྲིགས དཀྲིག
དཀྲིས དཀྲིས
དཀྲིས དཀྲི
དཀྲུག དཀྲུག
དཀྲུག དཀྲུགས
དཀྲུགས དཀྲུག
དཀྲུགས དཀྲུགས
དཀྲུམ དཀྲུམས
དཀྲུམ དཀྲུམ
དཀྲུམས དཀྲུམས
དཀྲུམས དཀྲུམ
དཀྲོག དཀྲོག
དཀྲོག དཀྲོགས
དཀྲོགས དཀྲོག
དཀྲོགས དཀྲོགས
དཀྲོལ འཁྲོལ
བཀག འགོག
བཀང འགེངས
བཀད འགད
བཀན བཀན
བཀབ འགེབ
བཀར དགར
བཀར འགེར
བཀལ འགེལ
བཀལ འཁེལ
བཀལ བཀལ
བཀས འགས
བཀུ བཀུ
བཀུ བཀུས
བཀུག འགུགས
བཀུམ འགུམ
བཀུར བཀུར
བཀུས བཀུ
བཀུས བཀུས
བཀོག འགོག
བཀོང བཀོངས
བཀོང བཀོང
བཀོངས བཀོངས
བཀོངས བཀོང
བཀོད འགོད
བཀོན བཀན
བཀོན བཀོན
བཀོན འཁོན
བཀོལ འཁོལ
བཀྱག འགྱོག
བཀྱག ཁྱོག
བཀྱགས འགྱོག
བཀྱགས ཁྱོག
བཀྱལ འཁྱལ
བཀྱལ བཀྱལ
བཀྱིག འཁྱིག
བཀྱིགས འཁྱིག
བཀྱེ འགྱེད
བཀྱེད འགྱེད
བཀྱེས འགྱེད
བཀྱོན བཀྱོན
བཀྲབ འཁྲབ
བཀྲབས བཀྲབས
བཀྲམ ཁྲོམ
བཀྲམ འགྲེམ
བཀྲལ འགྲེལ
བཀྲི འཁྲིད
བཀྲིས འཁྲིད
བཀྲུ འཁྲུད
བཀྲུམས དཀྲུམ
བཀྲུས འཁྲུད
བཀྲེས བཀྲེས
བཀྲོངས དགྲོང
བཀྲོབས འཁྲབ
བཀྲོལ འཁྲོལ
བཀྲོལ འགྲོལ
